Year,Crop,Domain,FIPS,County,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2006,Corn,Alluvial,20045,Douglas,140.426042,334125.5601548668,5
2006,Corn,Alluvial,20061,Geary,63.535702,243637.3325523822,1
2006,Corn,Alluvial,20087,Jefferson,675.016248,1573219.740063208,20
2006,Corn,Alluvial,20091,Johnson,0,0,0
2006,Corn,Alluvial,20103,Leavenworth,14.568696,3897.8026066501,1
2006,Corn,Alluvial,20149,Pottawatomie,1997.934782,3900923.315699095,54
2006,Corn,Alluvial,20161,Riley,293.39734999999996,606429.0106118529,7
2006,Corn,Alluvial,20177,Shawnee,2929.521954,5282509.317480924,85
2006,Corn,Alluvial,20197,Wabaunsee,1002.609565,1833916.126428872,21
2006,Corn,Alluvial,20209,Wyandotte,0,0,0
2006,Corn,Non-alluvial,20005,Atchison,29.137392,14049.358129666025,2
2006,Corn,Non-alluvial,20061,Geary,325.367544,1096577.688398103,6
2006,Corn,Non-alluvial,20085,Jackson,40.4686,55062.6292281204,1
2006,Corn,Non-alluvial,20131,Nemaha,0,0,0
2006,Corn,Non-alluvial,20139,Osage,0,0,0
2006,Corn,Non-alluvial,20149,Pottawatomie,314.441022,389891.27403038926,5
2006,Corn,Non-alluvial,20161,Riley,48.56232,84641.52369250945,1
2006,Corn,Non-alluvial,20177,Shawnee,0,0,0
2006,Corn,Non-alluvial,20197,Wabaunsee,52.204494,31034.4030326951,1
2006,Soybeans,Alluvial,20045,Douglas,292.992664,416534.48172141524,10
2006,Soybeans,Alluvial,20061,Geary,97.12464,158206.38048384234,2
2006,Soybeans,Alluvial,20087,Jefferson,329.414404,393036.6527161354,10
2006,Soybeans,Alluvial,20091,Johnson,106.837104,161832.817086232,2
2006,Soybeans,Alluvial,20103,Leavenworth,60.7029,36091.67856663985,2
2006,Soybeans,Alluvial,20149,Pottawatomie,1729.627964,2664666.1440171134,40
2006,Soybeans,Alluvial,20161,Riley,251.310006,632529.4862943579,9
2006,Soybeans,Alluvial,20177,Shawnee,1600.128444,1889842.1929432757,56
2006,Soybeans,Alluvial,20197,Wabaunsee,519.212138,869925.4007487498,15
2006,Soybeans,Alluvial,20209,Wyandotte,155.399424,390915.0639555537,5
2006,Soybeans,Non-alluvial,20005,Atchison,56.251354,42505.78412188685,2
2006,Soybeans,Non-alluvial,20061,Geary,175.229038,123718.22830601425,5
2006,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2006,Soybeans,Non-alluvial,20131,Nemaha,0,0,0
2006,Soybeans,Non-alluvial,20139,Osage,0,0,0
2006,Soybeans,Non-alluvial,20149,Pottawatomie,92.67309399999999,119808.09088098868,2
2006,Soybeans,Non-alluvial,20161,Riley,16.592126,19538.3523067524,1
2006,Soybeans,Non-alluvial,20177,Shawnee,19.424928,47859.09529684299,1
2006,Soybeans,Non-alluvial,20197,Wabaunsee,32.374880000000005,61661.75705899952,2
2007,Corn,Alluvial,20045,Douglas,505.8575,609882.7597569858,11
2007,Corn,Alluvial,20061,Geary,110.88396399999999,164694.4949493422,2
2007,Corn,Alluvial,20087,Jefferson,888.690456,1482238.1197257042,25
2007,Corn,Alluvial,20091,Johnson,106.837104,160093.60769529,2
2007,Corn,Alluvial,20103,Leavenworth,17.806184,8856.39959359105,1
2007,Corn,Alluvial,20149,Pottawatomie,2380.767738,2431131.027714245,60
2007,Corn,Alluvial,20161,Riley,355.718994,336074.46145819186,9
2007,Corn,Alluvial,20177,Shawnee,3609.79912,4930621.618865373,114
2007,Corn,Alluvial,20197,Wabaunsee,1047.327368,849017.8836023196,28
2007,Corn,Alluvial,20209,Wyandotte,61.512271999999996,186268.09228804798,2
2007,Corn,Non-alluvial,20005,Atchison,56.25135399999999,78190.41368213602,3
2007,Corn,Non-alluvial,20061,Geary,288.945804,429930.0944771811,6
2007,Corn,Non-alluvial,20085,Jackson,36.42174,62710.2166209149,1
2007,Corn,Non-alluvial,20131,Nemaha,0,0,0
2007,Corn,Non-alluvial,20139,Osage,0,0,0
2007,Corn,Non-alluvial,20149,Pottawatomie,248.88189,258599.46724183336,6
2007,Corn,Non-alluvial,20161,Riley,16.592126,16491.652168010074,1
2007,Corn,Non-alluvial,20177,Shawnee,16.592126,12766.537018616624,1
2007,Corn,Non-alluvial,20197,Wabaunsee,0,0,0
2007,Soybeans,Alluvial,20045,Douglas,93.07778,118414.25640455999,2
2007,Soybeans,Alluvial,20061,Geary,31.160822,65374.537390017496,1
2007,Soybeans,Alluvial,20087,Jefferson,239.97879799999998,291064.70920608356,8
2007,Soybeans,Alluvial,20091,Johnson,0,0,0
2007,Soybeans,Alluvial,20103,Leavenworth,64.74976,24903.998300084026,1
2007,Soybeans,Alluvial,20149,Pottawatomie,1451.203996,1586183.634175832,34
2007,Soybeans,Alluvial,20161,Riley,195.868024,224185.32397425812,6
2007,Soybeans,Alluvial,20177,Shawnee,1300.6608039999999,1508757.9792329755,34
2007,Soybeans,Alluvial,20197,Wabaunsee,676.8373349999999,937828.5759057397,15
2007,Soybeans,Alluvial,20209,Wyandotte,93.887152,144724.42399944816,3
2007,Soybeans,Non-alluvial,20005,Atchison,29.137392,57702.28036047204,2
2007,Soybeans,Non-alluvial,20061,Geary,152.971308,97161.36434361657,4
2007,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2007,Soybeans,Non-alluvial,20131,Nemaha,0,0,0
2007,Soybeans,Non-alluvial,20139,Osage,0,0,0
2007,Soybeans,Non-alluvial,20149,Pottawatomie,204.771116,84579.84960063208,2
2007,Soybeans,Non-alluvial,20161,Riley,48.56232,60255.58776419537,1
2007,Soybeans,Non-alluvial,20177,Shawnee,0,0,0
2007,Soybeans,Non-alluvial,20197,Wabaunsee,72.438794,53952.49557432765,2
2008,Corn,Alluvial,20045,Douglas,327.79566,379924.7407830055,9
2008,Corn,Alluvial,20061,Geary,103.599616,185281.30681800994,2
2008,Corn,Alluvial,20087,Jefferson,539.851124,591232.5143732677,16
2008,Corn,Alluvial,20091,Johnson,106.837104,161216.07616745823,2
2008,Corn,Alluvial,20103,Leavenworth,0,0,0
2008,Corn,Alluvial,20149,Pottawatomie,1837.27444,1421513.8088632408,41
2008,Corn,Alluvial,20161,Riley,233.099136,174759.7067437298,7
2008,Corn,Alluvial,20177,Shawnee,2605.975497,2801397.6057092533,75
2008,Corn,Alluvial,20197,Wabaunsee,1281.842905,809472.4558905468,27
2008,Corn,Alluvial,20209,Wyandotte,61.512271999999996,184652.2310808607,2
2008,Corn,Non-alluvial,20005,Atchison,29.137392,20426.4592297866,2
2008,Corn,Non-alluvial,20061,Geary,52.609179999999995,73774.54870371596,2
2008,Corn,Non-alluvial,20085,Jackson,0,0,0
2008,Corn,Non-alluvial,20131,Nemaha,0,0,0
2008,Corn,Non-alluvial,20139,Osage,0,0,0
2008,Corn,Non-alluvial,20149,Pottawatomie,340.745612,180014.33937168214,5
2008,Corn,Non-alluvial,20161,Riley,19.020242,16466.982531259124,1
2008,Corn,Non-alluvial,20177,Shawnee,0,0,0
2008,Corn,Non-alluvial,20197,Wabaunsee,0,0,0
2008,Soybeans,Alluvial,20045,Douglas,402.257884,259216.20816060712,7
2008,Soybeans,Alluvial,20061,Geary,31.160822,28370.0822635925,1
2008,Soybeans,Alluvial,20087,Jefferson,318.892568,301882.34492137516,11
2008,Soybeans,Alluvial,20091,Johnson,0,0,0
2008,Soybeans,Alluvial,20103,Leavenworth,82.555944,15961.25497786465,2
2008,Soybeans,Alluvial,20149,Pottawatomie,1579.8941439999999,1132990.0722425051,38
2008,Soybeans,Alluvial,20161,Riley,316.86913799999996,162671.5847357643,8
2008,Soybeans,Alluvial,20177,Shawnee,1736.10294,1506204.6718292523,49
